id,name,slug,url,created_at,updated_at,summary,storyline,collection,franchise,franchises,hypes,follows,rating,aggregated_rating,aggregated_rating_count,total_rating,total_rating_count,rating_count,parent_game,version_parent,version_title,similar_games,tags,game_engines,category,player_perspectives,game_modes,keywords,themes,genres,expansions,dlcs,bundles,standalone_expansions,first_release_date,status,platforms,release_dates,alternative_names,screenshots,videos,cover,websites,external_games,multiplayer_modes,involved_companies,age_ratings,artworks,checksum,remakes,remasters,expanded_games,ports,forks,language_supports,game_localizations,collections
187270,3D MiniGolf Remastered,3d-minigolf-remastered,https://www.igdb.com/games/3d-minigolf-remastered,2022-01-18 17:25:32,2022-12-14 08:39:02,,,,,,,,,,,,,,147887,,,,,,9,,,,,,,,,,2021-06-12 00:00:00,,{167},{337251},,,,203240,{481317},{2223521},,,{82747},,a5d40f29-fbef-8781-bd0d-5c57a550e1ba,,,,,,,,
168446,3D MiniGolf: Candy Shop,3d-minigolf-candy-shop,https://www.igdb.com/games/3d-minigolf-candy-shop,2021-09-09 09:46:12,2023-06-03 06:25:27,"New DLC ""Candy Shopf"" available! Sugar shock guaranteed!",,,,,,,,,,,,,11434,,,"{101573,109606,112846,114285,115869,116352,116353,116667,118871,120126}","{268435469,268435470}",,1,,,,,"{13,14}",,,,,2017-10-09 00:00:00,,"{6,14}","{321285,321286}",,"{614196,614197,614198,614199,614200,614201,614202}",,,"{220017,220018}",{2039321},,"{154109,154110}",,,a5a18089-9ba9-fa45-cb72-377ceff752fb,,,,,,"{529948,529949,529950,529951,529952,529953,529954,529955,529957}",,
90032,3D MMO Villagers & Heroes,3d-mmo-villagers-and-heroes,https://www.igdb.com/games/3d-mmo-villagers-and-heroes,2018-03-06 10:36:56,2022-12-14 01:05:26,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,{413553},"{270742,1956276}",,,,,30ce0777-b7e3-bb15-c4fe-e16562b4693f,,,,,,,,
25117,3D Monster Maze,3d-monster-maze,https://www.igdb.com/games/3d-monster-maze,2016-10-22 12:31:21,2024-01-13 17:09:02,"3D Monster Maze is a computer game developed from an idea by J.K.Greye and programmed by Malcolm Evans in 1981 for the Sinclair ZX81 platform with the 16 KB memory expansion. The game was initially released by J. K. Greye Software in early 1982 and re-released later the same year by Evans' own startup, New Generation Software. Rendered using low-resolution character block ""graphics"", it was one of the first 3D games for a home computer, and the first game incorporating typical elements of the genre that would later be termed survival horror.

3D Monster Maze puts the player in a maze with one exit and a hostile monster, the Tyrannosaurus rex. There, the player must traverse the maze, from the first-person perspective, and escape through the exit without being eaten.",,,,,,,,,,,,,,,,"{25646,43367,56033,68271,87514,87728,111130,114455,115304,116530}","{1,19,268435489,536870999,536871599,536872748,536875643}",,0,{1},{1},"{87,687,1836,4731}","{1,19}",{33},,,,,1981-12-01 00:00:00,,{373},{553165},,{444685},,140022,{397099},"{122508,1922954}",,{248205},,,f89ec6cb-2af3-7de8-babf-767206129922,,,,,,{879275},,
264371,3D Monster Maze,3d-monster-maze--1,https://www.igdb.com/games/3d-monster-maze--1,2023-09-01 15:19:59,2023-09-04 02:37:18,"A fan remake of the classic ZX Spectrum game featuring enhanced mazes, items, and full color graphics",,,,,,,,,,,,,,,,"{11668,26658,56033,87514,90965,109550,120201,177268,179739,249362}","{19,21,268435489,536870999,536873845}",,0,{1},{1},"{87,2933}","{19,21}",{33},,,,,2002-12-31 00:00:00,,{6},{511017},,,{97002},327438,,{2738636},{24409},,,,2ef1f1f6-a342-cebe-eed7-72c85ac49d37,,,,,,,,
144318,3D Morris,3d-morris,https://www.igdb.com/games/3d-morris,2021-03-06 20:54:19,2024-06-10 11:03:49,"3D Morris Prof simulates the famous board game Nine Men's Morris on your PC, including 5 levels from ""very easy"" to ""unbeatable"".

A realistic physics engine and advanced real-time graphics with realistic sound make this game to a unique experience.",The goal of the game is to close as many mills as possible to take the opponent pieces from the board. The player who has only two pieces or can't move his pieces has lost the game.,,,,1,,,,,,,,,,,"{8196,32510,60693,68045,78489,86922,86967,310988,312269,312270}",{268435491},,0,{5},"{1,2}",,,{35},,,,,2016-12-31 00:00:00,,{6},{569706},"{149312,149313}","{1263088,1263089,1263090,1263091,1263092}",{46736},367732,{452783},{1998880},,{257430},{169428},,57c7ebc3-3df0-3118-b33d-50555afb5c28,,,,,,"{918953,918954}",,
263635,3D Movie Maker,3d-movie-maker--1,https://www.igdb.com/games/3d-movie-maker--1,2023-08-28 13:20:45,2023-08-29 20:24:21,"Microsoft's 3D Movie Maker allows you to create your own 3D movies. Place your actors and props in the scene, choose actions for them to perform, and add sound effects, speech, music, and text. You can also explore the studio and theater building to find the lost pages of the Talent Book and learn the actors' stories.",,,,,,,,,,,,,,,,"{56328,127974,129777,129781,141497,151206,159092,210114,254494,280467}","{35,268435458}",{353},0,,{1},{604},"{33,35}",{2},,,,,1995-12-31 00:00:00,,{6},{509056},"{139630,139631}","{1126857,1126858,1126859,1126860,1126861,1126862,1126863,1126864,1126865,1126866,1126867,1126868,1126869,1126870}",,326722,"{577295,577703}",{2737077},,{229134},,,a7338277-2b00-4ea3-fb7d-8deba2a5b983,,,,,,"{784698,784699,784700,784701,784702,784703,784704}",,
62960,3D Ms. Maze: Tropical Adventures,3d-ms-maze-tropical-adventures,https://www.igdb.com/games/3d-ms-maze-tropical-adventures,2017-09-10 21:05:34,2024-01-22 21:55:51,"3D Ms. Maze: Tropical Adventures is a single-player 3D Pac-Man variant that is very similar in style to 3D Maze Man: Amazing Adventures and Lady Cruncher which are from the same developer.

In this game the player takes Ms. Maze through twenty tropical themed levels gobbling up many varieties of fruit, avoiding obstacles, using secret passages and conveyor belts while avoiding ghosts unless a power up has been eaten.",,,,,,,,,,,,,,,,"{15851,43367,56033,87728,90965,103369,112078,113895,119207,121036}","{1,268435489,536871599,536875697}",,0,{4},{1},"{687,4785}",{1},{33},,,,,1998-12-31 00:00:00,,{6},{479503},,"{1060827,1060828,1060829,1060830,1060831}",,306230,{374869},"{117338,1899944}",,{217596},,,35414234-6013-9288-4080-b474ad0bc988,,,,,,{701131},,{3685}
15577,3D Munchy,3d-munchy,https://www.igdb.com/games/3d-munchy,2015-12-31 18:33:02,2022-12-14 02:49:46,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1983-12-31 00:00:00,,{69},{43018},,,,,{429251},{1972725},,,,,68d45268-529e-afbe-279d-1ad0c3687d37,,,,,,,,
307959,3D Museum,3d-museum--1,https://www.igdb.com/games/3d-museum--1,2024-07-09 15:10:07,2024-07-23 09:30:31,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1994-12-31 00:00:00,,{487},"{615696,615697}",,,,,,{2932441},,,,,3e879d4a-d626-4ded-c922-9adda01bda7f,,,,,,{1034527},,
